Game, Date, PlayerID, GroupID, Track, Sandbox, Obstacles, Surface, Tire, Engine, Body, Finished, FinishedTime, TopSpeed, TimeToTopSpeed, PathCurvature1, CheckPoint1, PathCurvature2, CheckPoint2, PathCurvature3, CheckPoint3, MaxVelocity, Acceleration, AccelerationCurve, Suspension, Drag, Steer, Grip
1,7/15/2020 10:45,RK,RK,BumpyTrack,0,0,Normal,Muscle,Classic,Muscle,1,58.7297,18.1527,26.3079,360,63.4699,1440,40.7472,720,0,17,7,0.6,1,50,5,0
20,7/16/2020 8:12,RK,RK,BumpyTrack,0,0,Normal,Muscle,4x4,Muscle,1,54.1229,21.04,23.1078,360,9.78708,1440,36.5296,720,50.364,21,11,0.8,0.5,15,5,0.5
17,7/16/2020 8:03,RK,RK,WindingTrack,0,0,Sandy,4x4,Classic,4x4,1,77.2677,14.9867,50.0117,1440,18.9662,1440,42.232,1080,61.07,15,8,0.4,1,20,6,0.9
4,7/15/2020 11:03,RK,RK,WindingTrack,0,0,Sandy,4x4,Classic,4x4,1,56.1286,16.9842,25.5254,1440,18.4089,1440,39.3858,1080,0,17,7,0.6,1,17,5,0
19,7/16/2020 8:10,RK,RK,BumpyTrack,0,0,Normal,Muscle,4x4,Muscle,1,47.9548,20.9857,39.5385,360,11.0783,1440,28.0068,720,41.7915,21,11,0.8,0.5,10,5,0.5
6,7/15/2020 11:23,RK,RK,BumpyTrack,0,0,Normal,4x4,Classic,4x4,1,65.6014,22.5469,22.4977,360,9.90038,1440,44.7637,720,61.961,22,12,1,0.2,30,7,0.7
7,7/15/2020 13:54,Reina,yo,BumpyTrack,0,0,Normal,4x4,Classic,4x4,1,98.2388,13.5357,41.1342,360,18.2957,1440,62.0178,720,90.7147,10,5,0.8,0.2,4,5,0.95
8,7/15/2020 13:56,Reina,yo,WindingTrack,0,0,Sandy,Classic,Classic,Classic,1,69.2826,21.9828,27.1642,1440,23.8043,1440,42.9881,1080,57.4869,22,12,1,0.2,17,5,0.99
9,7/15/2020 14:00,Reina,yo,MountainTrack,0,1,Icy,Classic,Classic,Classic,1,74.6814,19.9804,37.0982,990,17.4991,1080,29.1565,990,61.1201,20,5,0.6,1,0,12,0.9
18,7/16/2020 8:08,RK,RK,WindingTrack,0,0,Sandy,4x4,Classic,4x4,1,76.2751,14.9866,35.321,1440,19.1375,1440,41.9154,1080,60.4158,15,8,0.4,1,50,6,0.9
